,id,published,updated,version,primary_category,all_categories,arxiv_path,http_link,cyber,opinion
0,9811019,1998-11-11T20:36:50Z,1998-11-11T20:36:50Z,1,cs.CG,"['cs.CG', 'cs.DS', 'cs.RO', 'F.2.2; I.2.9']",cs/pdf/9811/9811019v1.pdf,http://export.arxiv.org/pdf/cs/9811019v1.pdf,False,-0.0015037593984962407
1,9811029,1998-11-20T21:06:07Z,1998-11-20T21:06:07Z,1,cs.RO,"['cs.RO', 'cs.AI', 'I.2.9']",cs/pdf/9811/9811029v1.pdf,http://export.arxiv.org/pdf/cs/9811029v1.pdf,False,-0.007368877329865626
2,0002014,2000-02-24T18:13:33Z,2000-02-24T18:13:33Z,1,cs.RO,"['cs.RO', 'cs.AI', 'I.2.9']",cs/pdf/0002/0002014v1.pdf,http://export.arxiv.org/pdf/cs/0002014v1.pdf,True,0.0049586776859504135
3,0006005,2000-06-02T11:32:17Z,2000-06-02T11:32:17Z,1,cs.RO,"['cs.RO', 'cs.NE', 'nlin.AO', 'I.2.6']",cs/pdf/0006/0006005v1.pdf,http://export.arxiv.org/pdf/cs/0006005v1.pdf,False,0.007828810020876827
4,0006006,2000-06-02T12:00:15Z,2000-06-02T12:00:15Z,1,cs.RO,"['cs.RO', 'cs.NE', 'I.2.6']",cs/pdf/0006/0006006v1.pdf,http://export.arxiv.org/pdf/cs/0006006v1.pdf,False,0.0048828125
5,0006007,2000-06-02T12:33:13Z,2000-06-02T12:33:13Z,1,cs.RO,"['cs.RO', 'cs.NE', 'nlin.AO', 'I.2.6']",cs/pdf/0006/0006007v1.pdf,http://export.arxiv.org/pdf/cs/0006007v1.pdf,True,0.0021193924408336277
6,0006030,2000-06-20T20:17:44Z,2000-06-20T23:34:41Z,2,cs.RO,"['cs.RO', 'cs.DC', 'cs.MA', 'I.2.9; I.2.11; H.3.4']",cs/pdf/0006/0006030v2.pdf,http://export.arxiv.org/pdf/cs/0006030v2.pdf,False,-0.0034210526315789475
7,0010001,2000-09-30T11:47:42Z,2000-09-30T11:47:42Z,1,cs.RO,"['cs.RO', 'cs.LG', 'C.3; C.4; F.1.1; I.2.6; I.2.9; I.6.5; J.2, J.7']",cs/pdf/0010/0010001v1.pdf,http://export.arxiv.org/pdf/cs/0010001v1.pdf,False,-0.004975124378109453
8,0010003,2000-09-30T15:31:16Z,2000-09-30T15:31:16Z,1,cs.RO,"['cs.RO', 'cs.LG', 'I.2.9; I.2.6']",cs/pdf/0010/0010003v1.pdf,http://export.arxiv.org/pdf/cs/0010003v1.pdf,False,0.00196078431372549
9,0010004,2000-09-30T15:42:55Z,2000-09-30T15:42:55Z,1,cs.RO,"['cs.RO', 'cs.LG', 'I.2.9; I.2.6']",cs/pdf/0010/0010004v1.pdf,http://export.arxiv.org/pdf/cs/0010004v1.pdf,True,-0.004536082474226804
10,0109019,2001-09-18T20:29:24Z,2001-09-18T20:29:24Z,1,nlin.CD,"['nlin.CD', 'cs.RO', 'nlin.AO', 'physics.bio-ph']",nlin/pdf/0109/0109019v1.pdf,http://export.arxiv.org/pdf/nlin/0109019v1.pdf,False,-0.021876519202722412
11,0204043,2002-04-20T05:02:53Z,2002-04-20T05:02:53Z,1,cs.AI,"['cs.AI', 'cs.LG', 'cs.NE', 'cs.RO', 'I.2; I.2.8; I.2.11; I.2.6; G.1.6']",cs/pdf/0204/0204043v1.pdf,http://export.arxiv.org/pdf/cs/0204043v1.pdf,False,-0.016403402187120292
12,0204044,2002-04-21T01:21:22Z,2002-04-21T01:21:22Z,1,cs.RO,"['cs.RO', 'cs.AI', 'I.2.9']",cs/pdf/0204/0204044v1.pdf,http://export.arxiv.org/pdf/cs/0204044v1.pdf,False,-0.0035971223021582736
13,0205015,2002-05-12T11:23:21Z,2002-05-12T11:23:21Z,1,cs.RO,"['cs.RO', 'cs.CG', 'math.AT', 'I.2.9; I.3.5']",cs/pdf/0205/0205015v1.pdf,http://export.arxiv.org/pdf/cs/0205015v1.pdf,False,-0.008428657435279952
14,0210018,2002-10-02T09:13:38Z,2002-10-02T09:13:38Z,1,math.AT,"['math.AT', 'cs.RO', 'math.DG']",math/pdf/0210/0210018v1.pdf,http://export.arxiv.org/pdf/math/0210018v1.pdf,False,-0.0170316301703163
15,0210115,2002-10-08T06:39:32Z,2002-10-08T06:39:32Z,1,math.AT,"['math.AT', 'cs.RO', 'math.DG']",math/pdf/0210/0210115v1.pdf,http://export.arxiv.org/pdf/math/0210115v1.pdf,False,-0.006716417910447761
16,0212022,2002-12-10T16:36:50Z,2002-12-10T16:36:50Z,1,cs.RO,"['cs.RO', 'I.2.9']",cs/pdf/0212/0212022v1.pdf,http://export.arxiv.org/pdf/cs/0212022v1.pdf,False,-0.001826245760500913
17,0212027,2002-12-11T12:16:47Z,2002-12-11T12:16:47Z,1,cs.RO,"['cs.RO', 'I.2.9']",cs/pdf/0212/0212027v1.pdf,http://export.arxiv.org/pdf/cs/0212027v1.pdf,False,0.014234875444839857
18,0303024,2003-03-24T02:36:21Z,2003-03-24T02:36:21Z,1,cs.CV,"['cs.CV', 'cs.RO', 'I.2.9']",cs/pdf/0303/0303024v1.pdf,http://export.arxiv.org/pdf/cs/0303024v1.pdf,False,-0.019970414201183433
19,0307004,2003-07-02T19:41:07Z,2003-07-02T19:41:07Z,1,cs.RO,"['cs.RO', 'cs.CG', 'I.2.9']",cs/pdf/0307/0307004v1.pdf,http://export.arxiv.org/pdf/cs/0307004v1.pdf,False,-0.03021005428369129
20,0309018,2003-09-11T18:37:09Z,2003-09-11T18:37:09Z,1,math.NA,"['math.NA', 'cs.AR', 'cs.CC', 'cs.NA', 'cs.PF', 'cs.RO', 'B.8; G.1.5;G.1.6;I.2.9;I.3.1;C.1.4;D.2.4;F.2']",cs/pdf/0309/0309018v1.pdf,http://export.arxiv.org/pdf/cs/0309018v1.pdf,False,0.007560483870967742
21,0311019,2003-11-17T19:15:59Z,2003-11-17T19:15:59Z,1,cs.RO,"['cs.RO', 'D.2.5']",cs/pdf/0311/0311019v1.pdf,http://export.arxiv.org/pdf/cs/0311019v1.pdf,False,-0.004694835680751174
22,0404002,2004-04-02T02:00:00Z,2004-04-02T02:00:00Z,1,cs.RO,"['cs.RO', 'cs.MA', 'I.2.9; I.2.11; I.6.5']",cs/pdf/0404/0404002v1.pdf,http://export.arxiv.org/pdf/cs/0404002v1.pdf,True,-0.0012861736334405145
23,0404036,2004-04-16T21:46:15Z,2004-04-16T21:46:15Z,1,cs.RO,"['cs.RO', 'cs.DS', 'I.2.9']",cs/pdf/0404/0404036v1.pdf,http://export.arxiv.org/pdf/cs/0404036v1.pdf,False,-0.002127659574468085
24,0409031,2004-09-15T15:38:59Z,2004-09-15T15:38:59Z,1,cs.CV,"['cs.CV', 'astro-ph', 'cs.RO', 'I.4.8; I.4.6; I.4.0; I.2.9; I.2.10; J.2.; I.5.5; I.5.4; I.4.9']",cs/pdf/0409/0409031v1.pdf,http://export.arxiv.org/pdf/cs/0409031v1.pdf,True,-0.007724493080141615
25,0410042,2004-10-18T10:50:28Z,2004-10-18T10:50:28Z,1,cs.RO,"['cs.RO', 'cs.CV', 'cs.HC', 'cs.LG', 'cs.NE', 'q-bio.NC', 'I.2.9; I.2.10; I.2.6; H.1.2; H.2.8; I.5.4']",cs/pdf/0410/0410042v1.pdf,http://export.arxiv.org/pdf/cs/0410042v1.pdf,False,-0.001175951785976775
26,0410071,2004-10-27T09:14:01Z,2004-10-27T09:14:01Z,1,cs.CV,"['cs.CV', 'astro-ph', 'cs.AI', 'cs.CE', 'cs.HC', 'cs.RO', 'cs.SE', 'q-bio.NC', 'I.4.8; I.4.6; I.4.0; I.2.9; I.2.10; J.2.; I.5.5; I.5.4; I.4.9']",cs/pdf/0410/0410071v1.pdf,http://export.arxiv.org/pdf/cs/0410071v1.pdf,True,-0.006475596594315865
27,0411022,2004-11-08T20:22:52Z,2004-11-08T20:22:52Z,1,cs.RO,"['cs.RO', 'cs.AI']",cs/pdf/0411/0411022v1.pdf,http://export.arxiv.org/pdf/cs/0411022v1.pdf,False,0.004077471967380225
28,0411023,2004-11-08T20:24:32Z,2004-11-08T20:24:32Z,1,cs.RO,['cs.RO'],cs/pdf/0411/0411023v1.pdf,http://export.arxiv.org/pdf/cs/0411023v1.pdf,True,0.01618277010947168
