,opinion
7,-0.013253810470510271
15,-0.014650283553875236
1,-0.019538188277087035
13,-0.027602905569007265
14,0.005233111322549952
12,0.007925662749385078
5,0.004454342984409799
3,-0.004524886877828055
16,-0.00186219739292365
11,-0.01467645096731154
6,0.006305170239596469
21,0.009884678747940691
17,-0.016497016497016497
4,0.001119402985074627
18,0.0011261261261261261
2,-0.0016428068528514432
9,0.009769713886950453
23,0.004883546205860256
20,-0.009631490787269681
19,-0.023787457522397283
10,0.00914380714879468
8,0.011064593301435407
32,-0.006793478260869565
0,0.021203334541500543
31,-0.0048814504881450485
26,-0.0008172160174339417
28,0.0014819205690574985
33,-0.009068923821039904
25,0.005810882197569995
29,-0.019424210891432536
27,-0.002360578341693715
37,-0.005494505494505495
34,0.0007501875468867217
38,-0.03483606557377049
42,-0.015021459227467811
30,-0.030538051381483276
41,0.01112797167425392
44,-0.01917489831493318
36,-0.017110891740704178
35,-0.004108885464817668
40,0.012254901960784314
39,0.005040023717758672
22,0.006074830871185973
46,-0.0014545454545454545
49,-0.012151898734177215
43,-0.0008337965536409116
58,0.005509641873278237
54,-0.04100069492703266
45,-0.013265594129268981
57,-0.0026109660574412533
59,-0.023622047244094488
56,0.0013063357282821686
60,-0.0118946474086661
48,0.007175472928897586
61,0.011019283746556474
51,0.015861825872400422
62,-0.007929515418502203
55,-0.009880239520958085
47,0.006351446718419196
53,-0.03278688524590164
52,0.015772870662460567
63,-0.029488291413703384
69,0.005809128630705394
66,0.0034408602150537634
65,0.01750291715285881
70,0.0024937655860349127
64,0.007409694350108058
77,-0.0037243947858473
73,0.007575757575757576
80,0.012586532410320957
82,-0.007487131492746842
72,0.0009246417013407304
74,0.004703668861712135
83,-0.03238199780461032
79,0.010896898575020955
68,-0.003726435773783428
75,-0.005625413633355393
71,-0.00752222475495783
78,-0.007692307692307693
85,0.0028268551236749115
86,-0.01678951678951679
87,-0.00282258064516129
88,0.017035775127768313
90,-0.00734094616639478
84,-0.013910355486862442
94,-0.012953367875647668
81,-0.023757628596338273
89,0.003687315634218289
97,0.0065832784726793945
91,-0.012839325018341893
95,-0.015522875816993464
101,-0.04236006051437216
76,-0.007016473459426479
93,0.010756089844985764
109,0.0058823529411764705
106,0.0020093770931011385
102,0.0010251153254741158
99,0.001788109074653554
105,0.008316008316008316
104,-0.009882643607164917
108,0.007263922518159807
107,0.03818301514154049
96,-0.01678154030566377
113,-0.029523088569265707
116,-0.0051094890510948905
112,0.0021333333333333334
115,0.002386634844868735
121,0.017196904557179708
111,0.005268703898840885
118,-0.008103727714748784
122,0.005154639175257732
98,0.0
123,0.01107011070110701
120,0.002824858757062147
110,0.014075286415711947
114,0.008647526807333102
119,-0.03225806451612903
50,0.005015883631499749
117,0.012779552715654952
132,-0.002277904328018223
131,-0.008072653884964682
103,0.009545519304744265
136,-0.0039447731755424065
130,-0.041718815185648725
128,-0.025477707006369428
125,-0.00032278889606197545
137,0.010069225928256766
138,-0.02088167053364269
133,-0.009502262443438913
139,-0.015625
135,-0.032764190124596214
127,-0.013733183856502242
100,-0.013147952244219436
126,-0.02425467407781708
129,-0.05341526825809501
134,-0.03709640485459125
149,-0.016211604095563138
146,-0.031746031746031744
145,0.0029311187103077674
140,-0.0044411547002220575
152,0.0036991368680641184
143,-0.002575107296137339
147,0.0057777777777777775
148,-0.0005181347150259067
154,-0.0120652945351313
151,-0.0015189873417721519
142,-0.014998636487592037
141,-0.005695142378559464
144,0.0011448196908986834
161,-0.040892193308550186
153,-0.004165220409580007
156,0.0034482758620689655
155,0.006604623236265386
157,-0.0013550135501355014
165,0.002025658338960162
171,-0.01276207839562443
150,-0.02390057361376673
167,0.007133592736705577
158,0.0037542662116040954
159,0.004482869036183158
168,0.008152173913043478
162,-0.0002882675122513693
172,0.023657870791628753
166,-0.0005023863350916855
170,-0.004819960306209243
179,-0.004991087344028521
175,0.017543859649122806
180,-0.02342225113858165
184,-0.0006035003017501509
